"Sign","Sign1","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path","MesZL_nu"
"𒃬","𒃬","GA₂ × UD.DU","GA2 × UD.DU","GA<sub>2</sub> × UD.DU","387 (sign GA2)","233 (sign GA2)","U+120EC (GA2 TIMES UD PLUS DU)","GA2 × UD.DU","GA2 × UD.DU","–",387
"𒃭","𒃭","GA₂ over GA₂","GA2 over GA2","GA<sub>2</sub> over GA<sub>2</sub>","387 (sign GA2)","233 (sign GA2)","U+120ED (GA2 OVER GA2)","GA2 over GA2","GA2 over GA2","–",387
"𒃮","𒃮","GAB","GAB (GA15, GABA, GAP, IRTU, KAP2, KAP3, PITRU, QAB, QAP)","GAB (GA<sub>15</sub> <font color=""#878787"">(MesZL: ?)</font>, GABA, GAP, IRTU, <font color=""#c5000b"">KAP<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: KAP<sub>2</sub> missing)</font>, KAP<sub>3</sub>, PITRU, QAB, QAP)","298","167","U+120EE (GABA)","GAB (GA15 (MesZL: ?), GABA, GAP, IRTU, KAP2 (Labat; MesZL: KAP2 missing), KAP3, PITRU, QAB, QAP)","GAB (GA15, GABA, GAP, IRTU, KAP2, KAP3, PITRU, QAB, QAP)","167-GABA-DUH",298
"𒃮𒇺","𒃮𒇺","GAB.LIŠ","GAB.LIŠ","GAB.LIŠ</font> <font color=""#878787"">(MesZL: see also 839)</font>)","299","167a","U+120EE & U+121FA (GABA & LISH)","GAB.LIŠ (MesZL: see also 839)","GAB.LISH","–",299
"𒃮 crossing 𒃮","𒃮<font face = ""TeX Gyre Heros"" style=""font-size: 12pt"" color = ""#ffffff""> crossing </font>𒃮","GABA crossing GABA","GABA crossing GABA","GABA crossing GABA","298 (sign GABA)","167 (sign GABA)","U+120EF (GABA CROSSING GABA)","GABA crossing GABA","GABA crossing GABA","–",298
"𒃰","𒃰","GAD","GAD (GADA, GADU, GAT, GAṬ, GID4, KA10, KAD, KAT, KAṬ, KID9, KIT9, KOT, KUD2, KUT2, KUṬ2, QAD3, QAT3, QID4)","GAD (GADA, GADU, GAT, <font color=""#c5000b"">GAṬ</font> <font color=""#878787"">(Labat; MesZL: KAṬ missing)</font>, GID<sub>4</sub> <font color=""#878787"">(MesZL: ?)</font>, <font color=""#c5000b"">KA<sub>10</sub></font> <font color=""#878787"">(Labat: ?; MesZL: KA<sub>10</sub> = LUL.A (nos. 570+839), needless, the meaning is not newly occupied, see p. 494)</font>, KAD, KAT, <font color=""#c5000b"">KAṬ</font> <font color=""#878787"">(Labat; MesZL: KAṬ missing)</font>, KID<sub>9</sub>, KIT<sub>9</sub>, KOT <font color=""#878787"">(MesZL: to be erased)</font>, <font color=""#c5000b"">KUD<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: KUD<sub>2</sub> missing)</font>, KUT<sub>2</sub></font>, <font color=""#878787"">(MesZL: to be erased)</font>, <font color=""#c5000b"">KUṬ<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: KUṬ<sub>2</sub> missing)</font>, QAD<sub>3</sub>, QAT<sub>3</sub>, QID<sub>4</sub> <font color=""#878787"">(MesZL: Deimel QID<sub>3</sub>, perhaps to be erased)</font>)","157","090","U+120F0 (GAD)","GAD (GADA, GADU, GAT, GAṬ (Labat; MesZL: KAṬ missing), GID4 (MesZL: ?), KA10 (Labat: ?; MesZL: KA10 = LUL.A (nos. 570+839), needless, the meaning is not newly occupied, see p. 494), KAD, KAT, KAṬ (Labat; MesZL: KAṬ missing), KID9, KIT9, KOT (MesZL: to be erased), KUD2 (Labat; MesZL: KUD2 missing), KUT2 (MesZL: to be erased), KUṬ2 (Labat; MesZL: KUṬ2 missing), QAD3, QAT3, QID4 (MesZL: Deimel QID3, perhaps to be erased))","GAD (GADA, GADU, GAT, GAṬ, GID4, KA10, KAD, KAT, KAṬ, KID9, KIT9, KOT, KUD2, KUT2, KUṬ2, QAD3, QAT3, QID4)","090-GAD",157
"𒃰𒋺","𒃰𒋺","GAD.KID₂","GAD.KID2 (AŠŠA2, AŠTA, KIL4)","GAD.KID<sub>2</sub> (AŠŠA<sub>2</sub> <font color=""#878787"">(MesZL: Deimel and Labat vague)</font>, AŠTA, KIL<sub>4</sub>)</font>)","158","092","U+120F0 & U+122FA (GAD & TAK4)","GAD.KID2 (AŠŠA2 (MesZL: Deimel and Labat vague), AŠTA, KIL4)","GAD.KID2 (ASHSHA2, ASHTA, KIL4)","092-UMBIN",158
"𒆕","𒆕","GAG","GAG (BAN4, DA3, DU3, GAK, ḪENBUR, KA15, KAG, KAK, KAL3, KAQ, KI7, QA6, QAQ, QI6, RE12, RI12, RI13, RU2, TU19, TU20)","GAG (BAN<sub>4</sub>, DA<sub>3</sub>, DU<sub>3</sub>, GAK, ḪENBUR, KA<sub>15</sub>, KAG, KAK, KAL<sub>3</sub>, KAQ, KI<sub>7</sub>, QA<sub>6</sub>, QAQ, QI<sub>6</sub>, RE<sub>12</sub> <font color=""#878787"">(MesZL: ?, Labat RE<sub>13</sub>)</font>, RI<sub>12</sub> <font color=""#878787"">(MesZL: ?, Labat RI<sub>13</sub>)</font>, RI<sub>13</sub> <font color=""#878787"">(Labat; MesZL: GAG = RI<sub>12</sub>, RI<sub>13</sub> missing)</font>, RU<sub>2</sub>, <font color=""#c5000b"">TU<sub>19</sub></font> <font color=""#878787"">(Labat; MesZL: GAG = TU<sub>20</sub>, TU<sub>19</sub> = TUR (no. 255))</font>, TU<sub>20</sub>)","379","230","U+12195 (KAK)","GAG (BAN4, DA3, DU3, GAK, ḪENBUR, KA15, KAG, KAK, KAL3, KAQ, KI7, QA6, QAQ, QI6, RE12 (MesZL: ?, Labat RE13), RI12 (MesZL: ?, Labat RI13), RI13 (Labat; MesZL: GAG = RI12, RI13 missing), RU2, TU19 (Labat; MesZL: GAG = TU20, TU19 = TUR (no. 255)), TU20)","GAG (BAN4, DA3, DU3, GAK, HENBUR, KA15, KAG, KAK, KAL3, KAQ, KI7, QA6, QAQ, QI6, RE12, RI12, RI13, RU2, TU19, TU20)","230-KAK",379
"𒆕𒋻","𒆕𒋻","GAG.TAR","GAG.TAR (KUKSU2)","GAG.TAR (KUKSU<sub>2</sub> <font color=""#878787"">(MesZL: ?)</font>)","379+009","230+012","U+12195 & U+122FB (KAK & TAR)","GAG.TAR (KUKSU2 (MesZL: ?))","GAG.TAR (KUKSU2)","–",379
"𒌋𒁵","𒌋𒁵","GAKKUL","GAKKUL (U.MUN; KAKKUL, MUN5)","GAKKUL (U.MUN <font color=""#878787"">(MesZL: old U.DIM × ŠE, later U.DIM × KUR)</font>; KAKKUL, MUN<sub>5</sub>)","668","416","U+1230B & U+12075 (U & DIM TIMES SHE)","GAKKUL (U.MUN (MesZL: old U.DIM × ŠE, later U.DIM × KUR); KAKKUL, MUN5)","GAKKUL (U.MUN; KAKKUL, MUN5)","416-GAKKUL",668
"𒌋𒁴","𒌋𒁴","GAKKUL₃","GAKKUL3 (U.DIM; KAKKUL3, MUN6)","GAKKUL<sub>3</sub> (U.DIM; KAKKUL<sub>3</sub>, MUN<sub>6</sub>)","667","415a (ABZ)","U+1230B & U+12074 (U & DIM)","GAKKUL3 (U.DIM; KAKKUL3, MUN6)","GAKKUL3 (U.DIM; KAKKUL3, MUN6)","–",667
"𒃲","𒃲","GAL","GAL (GALA, GALA8, GEL5, KAL2, QAL, RAB2, RAP2)","GAL (<font color=""#c5000b"">GALA</font> <font color=""#878787"">(Labat: in syllabary GALA = GAL (no. 553), but in index GALA = UŠ.KU (nos. 381+808); MesZL: GALA<sub>8</sub>, GALA = UŠ.KU (nos. 381+808); KŠ: perhaps mistake)</font>, GALA<sub>8</sub>, <font color=""#c5000b"">GEL<sub>5</sub></font> <font color=""#878787"">(Labat: ?; MesZL: GEL<sub>5</sub> missing)</font>, KAL<sub>2</sub>, QAL, RAB<sub>2</sub>, <font color=""#c5000b"">RAP<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: RAP<sub>2</sub> missing)</font>)","553","343","U+120F2 (GAL)","GAL (GALA (Labat: in syllabary GALA = GAL (no. 553), but in index GALA = UŠ.KU (nos. 381+808); MesZL: GALA8, GALA = UŠ.KU (nos. 381+808); KŠ: perhaps mistake), GALA8, GEL5 (Labat: ?; MesZL: GEL5 missing), KAL2, QAL, RAB2, RAP2 (Labat; MesZL: RAP2 missing))","GAL (GALA, GALA8, GEL5, KAL2, QAL, RAB2, RAP2)","343-GAL",553
"𒃲𒀭𒍪","𒃲𒀭𒍪","GAL.AN.ZU","GAL.AN.ZU (EREŠ5)","GAL.AN.ZU (EREŠ<sub>5</sub>)","553+010+015","343+013+006","U+120F2 & U+1202D & U+1236A (GAL & AN & ZU)","GAL.AN.ZU (EREŠ5)","GAL.AN.ZU (ERESH5)","–",553
"𒃲𒁔","𒃲𒁔","GAL.BUR₂","GAL.BUR2 (GAL.UŠUM; UŠUMGAL)","GAL.BUR<sub>2</sub> (GAL.UŠUM; UŠUMGAL)","553+008","343+011","U+120F2 & U+12054 (GAL & BUR2)","GAL.BUR2 (GAL.UŠUM; UŠUMGAL)","GAL.BUR2 (GAL.USHUM; USHUMGAL)","–",553
"𒃳","𒃳","GAL.KINDA","GAL.KINDA (GAL.GAD over GAD.GAR over GAR; KINDAGAL)","GAL.KINDA (GAL.GAD over GAD.GAR over GAR; KINDAGAL <font color=""#878787"">(MesZL: Deimel differently)</font>)","553+163","343+091","U+120F3 (GAL GAD OVER GAD GAR OVER GAR)","GAL.KINDA (GAL.GAD over GAD.GAR over GAR; KINDAGAL (MesZL: Deimel differently))","GAL.KINDA (GAL.GAD over GAD.GAR over GAR; KINDAGAL)","–",553
"𒃲𒉌","𒃲𒉌","GAL.NI","GAL.NI (SANTAN, SANTANA, ŠANTAN, ŠANTANA)","GAL.NI (SANTAN SANTANA, ŠANTAN, ŠANTANA)","553+380","343+231","U+120F2 & U+1224C (GAL & NI)","GAL.NI (SANTAN, SANTANA, ŠANTAN, ŠANTANA)","GAL.NI (SANTAN, SANTANA, SHANTAN, SHANTANA)","–",553
"𒃲𒋚","𒃲𒋚","GAL.ŠUBUR","GAL.ŠUBUR (also GAL.ŠAḪ; UKUR2)","GAL.ŠUBUR (also GAL.ŠAḪ; UKUR<sub>2</sub>)","553+022","343+053","U+120F2 & U+122DA (GAL & SHUBUR)","GAL.ŠUBUR (also GAL.ŠAḪ; UKUR2)","GAL.SHUBUR (also GAL.SHAH; UKUR2)","–",553
"𒃲𒋼","𒃲𒋼","GAL.TE","GAL.TE (TIRU, TIRUM)","GAL.TE (TIRU, TIRUM)","553+589","343+376","U+120F2 & U+122FC (GAL & TE)","GAL.TE (TIRU, TIRUM)","GAL.TE (TIRU, TIRUM)","–",553
"𒃲𒌺","𒃲𒌺","GAL.UKKIN","GAL.UKKIN (GAL.URU × BAR; KINGAL)","GAL.UKKIN (GAL.URU × BAR; KINGAL)","553+073","343+040","U+120F2 & U+1233A (GAL & URU TIMES BAR)","GAL.UKKIN (GAL.URU × BAR; KINGAL)","GAL.UKKIN (GAL.URU × BAR; KINGAL)","–",553
"𒃲𒌵","𒃲𒌵","GAL.URI","GAL.URI (KINDAGAL2)","GAL.URI (KINDAGAL<sub>2</sub></font> <font color=""#878787"">(MesZL: ?)</font>)","553+574","343+359","U+120F2 & U+12335 (GAL & URI)","GAL.URI (KINDAGAL2 (MesZL: ?))","GAL.URI (KINDAGAL2)","–",553
"𒃲𒍪","𒃲𒍪","GAL.ZU","GAL.ZU (GAGAZU)","GAL.ZU (GAGAZU <font color=""#878787"">(MesZL: to be erased)</font>)","553+015","343+006","U+120F2 & U+1236A (GAL & ZU)","GAL.ZU (GAGAZU (MesZL: to be erased))","GAL.ZU (GAGAZU)","–",553
"𒃴","𒃴","GALAM","GALAM (GUD5, RIG6, SUKUD, UBI)","GALAM (GUD<sub>5</sub> <font color=""#878787"">(MesZL: to be erased, the meaning is not newly occupied)</font>, <font color=""#c5000b"">RIG<sub>6</sub></font> <font color=""#878787"">(Labat; MesZL: RIG<sub>6</sub> =? ZUM<sub>2</sub> (no. 885))</font>, SUKUD, UBI)","338","190k (ABZ), 190h (Labat)","U+120F4 (GALAM)","GALAM (GUD5 (MesZL: to be erased, the meaning is not newly occupied), RIG6 (Labat; MesZL: RIG6 =? ZUM2 (no. 885)), SUKUD, UBI)","GALAM (GUD5, RIG6, SUKUD, UBI)","–",338
"𒃴𒃴","𒃴𒃴","GALAM.GALAM","GALAM.GALAM (GIBIL5)","GALAM.GALAM (GIBIL<sub>5</sub>)","338+338","190k+190k","U+120F4 & U+120F4 (GALAM & GALAM)","GALAM.GALAM (GIBIL5)","GALAM.GALAM (GIBIL5)","–",338
"𒑲","𒑲","GAM","GAM (see GAM)","GAM (see GAM (no. 576, U+120F5)","576","362","U+12472 (PUNCTUATION SIGN DIAGONAL COLON)","GAM (see GAM (no. 576, U+120F5))","GAM (see GAM)","362-GAM",576
"𒃵","𒃵","GAM","GAM (AR5, GAN7, GAR17, GIRUM, GUM4, GUR2, GURU2, GURUM, QAM, QUR3)","GAM (AR<sub>5</sub>, GAN<sub>7</sub>, <font color=""#c5000b"">GAR<sub>17</sub></font> <font color=""#878787"">(Labat; MesZL: GAR<sub>17</sub> missing)</font>, GIRUM, GUM<sub>4</sub>, GUR<sub>2</sub>, GURU<sub>2</sub>, GURUM, QAM, QUR<sub>3</sub> <font color=""#878787"">(MesZL: needless)</font>)","576","362","U+120F5 (GAM)","GAM (AR5, GAN7, GAR17 (Labat; MesZL: GAR17 missing), GIRUM, GUM4, GUR2, GURU2, GURUM, QAM, QUR3 (MesZL: needless))","GAM (AR5, GAN7, GAR17, GIRUM, GUM4, GUR2, GURU2, GURUM, QAM, QUR3)","362-GAM",576
"𒆛","𒆛","GAM₃","GAM3 (PAB.NA2; KAM4, ZU8, ZUB, ZUBI, ZUBU, ZUBUD)","GAM<sub>3</sub> (PAB.NA<sub>2</sub>; KAM<sub>4</sub>, ZU<sub>8</sub>, ZUB, ZUBI, ZUBU <font color=""#878787"">(MesZL: Deimel vague)</font>, <font color=""#c5000b"">ZUBUD</font> <font color=""#878787"">(Labat; MesZL: ZUBUD = ḪA <i>tenû</i> (no. 857), ZUBUD of Deimel and Labat to be erased)</font>)","097","060*","U+1219B (KAM4)","GAM3 (PAB.NA2; KAM4, ZU8, ZUB, ZUBI, ZUBU (MesZL: Deimel vague), ZUBUD (Labat; MesZL: ZUBUD = ḪA tenû (no. 857), ZUBUD of Deimel and Labat to be erased))","GAM3 (PAB.NA2; KAM4, ZU8, ZUB, ZUBI, ZUBU, ZUBUD)","–",97
"𒃶","𒃶","GAN","GAN (GAM4, GANA, GIDI6, ḪE2, ḪI2, KAN, KANA, LI6, PA11, QAN, SAG7, SEG16, SIG16)","GAN (GAM<sub>4</sub> <font color=""#878787"">(MesZL: perhaps to be erased)</font>, GANA, GIDI<sub>6</sub> <font color=""#878787"">(MesZL: Deimel UD.GAN = GIDI<sub>3</sub>; Labat: GIDI<sub>6</sub> = UD.GAN)</font>, ḪE<sub>2</sub>, ḪI<sub>2</sub>, KAN, KANA <font color=""#878787"">(MesZL: opened)</font>, LI<sub>6</sub>, PA<sub>11</sub> <font color=""#878787"">(MesZL: too uncertain)</font>, QAN, SAG<sub>7</sub>, SEG<sub>16</sub>, SIG<sub>16</sub>)","253","143","U+120F6 (GAN)","GAN (GAM4 (MesZL: perhaps to be erased), GANA, GIDI6 (MesZL: Deimel UD.GAN = GIDI3; Labat: GIDI6 = UD.GAN), ḪE2, ḪI2, KAN, KANA (MesZL: opened), LI6, PA11 (MesZL: too uncertain), QAN, SAG7, SEG16, SIG16)","GAN (GAM4, GANA, GIDI6, HE2, HI2, KAN, KANA, LI6, PA11, QAN, SAG7, SEG16, SIG16)","143-GAN",253
"𒃷","𒃷","GAN₂","GAN2 (AL3, AŠA5, AŠAG, GA3, GANA2, IKU, IŠḪURU3, IŠḪURUM3, KAN2, KANA2, MUL5, MULU4, UL8)","GAN<sub>2</sub> (AL<sub>3</sub> <font color=""#878787"">(MesZL: ?)</font>, AŠA<sub>5</sub>, AŠAG, GA<sub>3</sub> <font color=""#878787"">(MesZL: perhaps to be erased)</font>, GANA<sub>2</sub>, IKU, IŠḪURU<sub>3</sub>, IŠḪURUM<sub>3</sub> <font color=""#878787"">(MesZL: Deimel IŠḪURUM)</font>, KAN<sub>2</sub>, KANA<sub>2</sub>, MUL<sub>5</sub>, MULU<sub>4</sub>, UL<sub>8</sub> <font color=""#878787"">(MesZL: ?)</font>)","174","105 (Labat) 105 I (ABZ)","U+120F7 (GAN2)","GAN2 (AL3 (MesZL: ?), AŠA5, AŠAG, GA3 (MesZL: perhaps to be erased), GANA2, IKU, IŠḪURU3, IŠḪURUM3 (MesZL: Deimel IŠḪURUM), KAN2, KANA2, MUL5, MULU4, UL8 (MesZL: ?))","GAN2 (AL3, ASHA5, ASHAG, GA3, GANA2, IKU, ISHHURU3, ISHHURUM3, KAN2, KANA2, MUL5, MULU4, UL8)","105-GAN",174
"𒃷 crossing 𒃷","𒃷<font face = ""TeX Gyre Heros"" style=""font-size: 12pt"" color = ""#ffffff""> crossing </font>𒃷","GAN₂ crossing GAN₂","GAN2 crossing GAN2","GAN<sub>2</sub> crossing GAN<sub>2</sub> <font color=""#878787"">(KŠ: see MesZL p. 115 (sign KIB, no. 378))</font>","378 (sign KIB)","174 (sign GAN2), 105 (sign GAN2)","U+120FA (GAN2 CROSSING GAN2)","GAN2 crossing GAN2 (KŠ: see MesZL p. 115 (sign KIB, no. 378))","GAN2 crossing GAN2","–",378
"𒃷 crossing 𒃷","𒃷<font face = ""TeX Gyre Heros"" style=""font-size: 12pt"" color = ""#ffffff""> crossing </font>𒃷","GAN₂ crossing GAN₂","GAN2 crossing GAN2","GAN<sub>2</sub> crossing GAN<sub>2</sub> <font color=""#878787"">(KŠ: see MesZL p. 115 (sign KIB, no. 378))</font>","174 (sign GAN2)","378 (sign KIB) 105 (sign GAN2)","U+120FA (GAN2 CROSSING GAN2)","GAN2 crossing GAN2 (KŠ: see MesZL p. 115 (sign KIB, no. 378))","GAN2 crossing GAN2","–",174
"𒃹","𒃹","GAN₂ over GAN₂","GAN2 over GAN2 (ALʾAL2)","GAN<sub>2</sub> over GAN<sub>2</sub> (<font color=""#c5000b"">ALʾAL<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: ALʾAL<sub>2</sub> = KIB (no. 378)</font>)","174","105","U+120F9 (GAN2 OVER GAN2)","GAN2 over GAN2 (AL’AL2 (Labat; MesZL: AL’AL2 = KIB (no. 378)))","GAN2 over GAN2 (ALʾAL2)","–",174
"𒃼","𒃼","GAR₃","GAR3 (GARA3, KAR3, KIR16, QAR, QER5)","GAR<sub>3</sub> (GARA<sub>3</sub></font> <font color=""#878787"">(MesZL: Deimel differently; KŠ: in MesZL index erroneously no. 333)</font>, KAR<sub>3</sub>, KIR<sub>16</sub>, QAR, QER<sub>5</sub>)","543","333","U+120FC (GAR3)","GAR3 (GARA3 (MesZL: Deimel differently; KŠ: in MesZL index erroneously no. 333), KAR3, KIR16, QAR, QER5)","GAR3 (GARA3, KAR3, KIR16, QAR, QER5)","333-GAR3",543
"𒃽","𒃽","GAŠAN","GAŠAN (U gunû; UGUN2, UGUNU2)","GAŠAN (U <i>gunû</i>; UGUN<sub>2</sub>, UGUNU<sub>2</sub>)","562, also 563","350","U+120FD (GASHAN)","GAŠAN (U gunû; UGUN2, UGUNU2)","GASHAN (U gunû; UGUN2, UGUNU2)","350-GASHAN",562
"𒄤","𒄤","GAZ","GAZ (KUM × ŠE; GAS, GAṢ, GAZA, KAS3, KAṢ, KAṢ3, KAŠ6, NAGA2, NAGA3)","GAZ (KUM × ŠE; GAS, GAṢ, GAZA, KAS<sub>3</sub>, <font color=""#c5000b"">KAṢ</font> <font color=""#878787"">(Labat; MesZL: KAṢ = KASKAL (no. 302))</font>, KAṢ<sub>3</sub> <font color=""#878787"">(MesZL: vSoden KAṢ)</font>, KAŠ<sub>6</sub> <font color=""#878787"">(MesZL: ?)</font>, <font color=""#c5000b"">NAGA<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: NAGA<sub>2</sub> = NAG (KA × A, no. 64))</font>, NAGA<sub>3</sub>)","340","192","U+12124 (GUM TIMES SHE)","GAZ (KUM × ŠE; GAS, GAṢ, GAZA, KAS3, KAṢ (Labat; MesZL: KAṢ = KASKAL (no. 302)), KAṢ3 (MesZL: vSoden KAṢ), KAŠ6 (MesZL: ?), NAGA2 (Labat; MesZL: NAGA2 = NAG (KA × A, no. 64)), NAGA3)","GAZ (KUM × SHE; GAS, GAṢ, GAZA, KAS3, KAṢ, KAṢ3, KASH6, NAGA2, NAGA3)","192-GAZ",340
"–","–","GE₂₂","GE22 (GE23, SAGTAG2, SAGTAK2, SANTA2, SANTAG2, SANTAK2, UBURA, UBURU, UKIT, ULIL, UMA, UTAG, UTAK, UTAK2, UZALAG, UZALAK)","GE<sub>22</sub> (<font color=""#878787"">(MesZL: Labat GE<sub>23</sub>)</font>; <font color=""#c5000b"">GE<sub>23</sub></font> <font color=""#878787"">(Labat; MesZL: GE<sub>22</sub>, GE<sub>23</sub> = GE<sub>23</sub> (no. 575))</font>, SAGTAG<sub>2</sub>, SAGTAK<sub>2</sub>, SANTA<sub>2</sub>, SANTAG<sub>2</sub>, SANTAK<sub>2</sub>, UBURA, UBURU, UKIT <font color=""#878787"">(MesZL: Deimel and Labat UMA)</font>, ULIL, UMA <font color=""#878787"">(MesZL: read UKIT)</font>, UTAG <font color=""#878787"">(MesZL: Deimel and Labat vague)</font>, UTAK <font color=""#878787"">(MesZL: Deimel and Labat vague)</font>, <font color=""#c5000b"">UTAK<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: UTAK, UTAK<sub>2</sub> missing)</font> UZALAG</font> <font color=""#878787"">(MesZL: Deimel UZALAG<sub>2</sub>)</font>, UZALAK <font color=""#878787"">(MesZL: Deimel UZALAG<sub>2</sub>)</font>)","647","361","–","GE22 ( (MesZL: Labat GE23); GE23 (Labat; MesZL: GE22, GE23 = GE23 (no. 575)), SAGTAG2, SAGTAK2, SANTA2, SANTAG2, SANTAK2, UBURA, UBURU, UKIT (MesZL: Deimel and Labat UMA), ULIL, UMA (MesZL: read UKIT), UTAG (MesZL: Deimel and Labat vague), UTAK (MesZL: Deimel and Labat vague), UTAK2 (Labat; MesZL: UTAK, UTAK2 missing), UZALAG (MesZL: Deimel UZALAG2), UZALAK (MesZL: Deimel UZALAG2))","GE22 (GE23, SAGTAG2, SAGTAK2, SANTA2, SANTAG2, SANTAK2, UBURA, UBURU, UKIT, ULIL, UMA, UTAG, UTAK, UTAK2, UZALAG, UZALAK)","–",647
"𒀹𒁯","𒀹𒁯","GE₂₃.DAR","GE23.DAR (also GE23.TAR2, IŠ8.DAR, IŠ8.TAR2, AŠ11.DAR, AŠ11.TAR2, EŠ18.DAR, EŠ18.TAR2)","GE<sub>23</sub>.DAR <font color=""#878787"">(MesZL: also GE<sub>23</sub>.TAR<sub>2</sub>, IŠ<sub>8</sub>.DAR, IŠ<sub>8</sub>.TAR<sub>2</sub>, AŠ<sub>11</sub>.DAR, AŠ<sub>11</sub>.TAR<sub>2</sub>, EŠ<sub>18</sub>.DAR, EŠ<sub>18</sub>.TAR<sub>2</sub>, old form of U.DAR (nos. 670+183), see also AŠ.DAR (nos. 1+183) and DIŠ.DAR (nos. 748+183)</font>","575+183","360+114","U+12039 & U+1206F (ASH ZIDA TENU & DAR)","GE23.DAR (MesZL: also GE23.TAR2, IŠ8.DAR, IŠ8.TAR2, AŠ11.DAR, AŠ11.TAR2, EŠ18.DAR, EŠ18.TAR2, old form of U.DAR (nos. 670+183), see also AŠ.DAR (nos. 1+183) and DIŠ.DAR (nos. 748+183))","GE23.DAR (also GE23.TAR2, ISH8.DAR, ISH8.TAR2, ASH11.DAR, ASH11.TAR2, ESH18.DAR, ESH18.TAR2)","360_114-ISH8_TAR2",575
"𒊩𒆳","𒊩𒆳","GEME₂","GEME2 (MUNUS.KUR; AMAT, AMTU, GE12, GEM3, GI12, GIM3, GIN5)","GEME<sub>2</sub> (MUNUS.KUR; AMAT, AMTU, GE<sub>12</sub>, GEM<sub>3</sub>, GI<sub>12</sub> <font color=""#878787"">(MesZL: ?, Deimel differently)</font> GIM<sub>3</sub>, <font color=""#c5000b"">GIN<sub>5</sub></font> <font color=""#878787"">(Labat; MesZL: GIN<sub>5</sub>missing)</font>)","890","558","U+122A9 & U+121B3 (SAL & KUR)","GEME2 (MUNUS.KUR; AMAT, AMTU, GE12, GEM3, GI12 (MesZL: ?, Deimel differently), GIM3, GIN5 (Labat; MesZL: GIN5 missing))","GEME2 (MUNUS.KUR; AMAT, AMTU, GE12, GEM3, GI12, GIM3, GIN5)","558-GEME2",890
"𒃾","𒃾","GEŠTIN","GEŠTIN (GIŠ.DIN; KURUN4, PIḪU4, WI5)","GEŠTIN (GIŠ.DIN; <font color=""#c5000b"">KURUN<sub>4</sub></font> <font color=""#c5000b""></font> <font color=""#878787"">(Labat: ?; MesZL: KURUN<sub>4</sub> missing)</font>, <font color=""#c5000b"">PIḪU<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: PIḪU<sub>4</sub> = BI.U<sub>2</sub>.SA (nos. 358+490+172))</font>, WI<sub>5</sub> <font color=""#878787"">(MesZL: Hittite, HethZL no. 131)</font>)","212","210","U+120FE (GESHTIN)","GEŠTIN (GIŠ.DIN; KURUN4 (Labat: ?; MesZL: KURUN4 missing), PIḪU4 (Labat; MesZL: PIḪU4 = BI.U2.SA (nos. 358+490+172)), WI5 (MesZL: Hittite, HethZL no. 131))","GESHTIN (GISH.DIN; KURUN4, PIHU4, WI5)","210-GESHTIN",212
"𒃿","𒃿","GEŠTIN × KUR","GEŠTIN × KUR (ADAR3, ILDAG4)","GEŠTIN × KUR (ADAR<sub>3</sub>, ILDAG<sub>4</sub>)","213","210a","U+120FF (GESHTIN TIMES KUR)","GEŠTIN × KUR (ADAR3, ILDAG4)","GESHTIN × KUR (ADAR3, ILDAG4)","–",213
